Filipino Restaurant:Asian Restaurant
Maharashtrian Restaurant:Indian Restaurant
Yakitori Restaurant:Japanese Restaurant
Art Gallery:Arts & Entertainment
Church:Spiritual Center
Corsican Restaurant:French Restaurant
Lingerie Store:Clothing Store
Botanical Garden:Outdoors & Recreation
Tennis Stadium:Stadium
Hockey Arena:Stadium
Rock Club:Music Venue
Food Truck:Food
Irish Pub:Food
Mosque:Spiritual Center
Skate Park:Athletics & Sports
Supplement Shop:Shop & Service
Insurance Office:Shop & Service
Catalan Restaurant:French Restaurant
Huaiyang Restaurant:Chinese Restaurant
BBQ Joint:Food
Lawyer:Shop & Service
Farmers Market:Food & Drink Shop
Ski Area:Outdoors & Recreation
Shoe Repair:Shop & Service
Basketball Stadium:Stadium
Auto Workshop:Shop & Service
Heliport:Travel & Transport
Home Service:Shop & Service
Medical Supply Store:Shop & Service
Sports Club:Athletics & Sports
Food Stand:Food
Indie Movie Theater:Movie Theater
Nutritionist:Medical Center
Piano Bar:Music Venue
Indian Sweet Shop:Indian Restaurant
Stadium:Arts & Entertainment
Pier:Travel & Transport
Soccer Field:Athletics & Sports
Italian Restaurant:Food
Lighthouse:Outdoors & Recreation
Cooking School:School
Health & Beauty Service:Shop & Service
Men's Store:Clothing Store
Punjabi Restaurant:Indian Restaurant
College Track:College Stadium
Volleyball Court:Athletics & Sports
Corporate Coffee Shop:Office
Janguh Restaurant:Korean Restaurant
Rental Car Location:Travel & Transport
Convenience Store:Shop & Service
Swiss Restaurant:Food
Zoo:Arts & Entertainment
Veneto Restaurant:Italian Restaurant
Recycling Facility:Shop & Service
Motorcycle Shop:Shop & Service
Research Station:Professional & Other Places
Transportation Service:Travel & Transport
Truck Stop:Food
Tonkatsu Restaurant:Japanese Restaurant
Cave:Outdoors & Recreation
ATM:Shop & Service
Corporate Cafeteria:Office
Hot Dog Joint:Food
Music School:School
Rehab Center:Medical Center
Corporate Amenity:Office
Fabric Shop:Shop & Service
Bengali Restaurant:Indian Restaurant
Street Art:Public Art
Metro Station:Travel & Transport
College Stadium:College & University
Recreation Center:Outdoors & Recreation
Assisted Living:Residence
Burrito Place:Mexican Restaurant
Martial Arts Dojo:Gym / Fitness Center
Ski Trail:Ski Area
Botanero:Mexican Restaurant
College Theater:College & University
Recording Studio:Shop & Service
Lebanese Restaurant:Middle Eastern Restaurant
Pide Place:Turkish Restaurant
Japanese Curry Restaurant:Japanese Restaurant
Yoshoku Restaurant:Japanese Restaurant
Shanxi Restaurant:Chinese Restaurant
Outdoor Supply Store:Shop & Service
Basketball Court:Athletics & Sports
Japanese Restaurant:Asian Restaurant
Sake Bar:Bar
Farm:Outdoors & Recreation
Piedmontese Restaurant:Italian Restaurant
Nursery School:School
Austrian Restaurant:Food
Observatory:Professional & Other Places
Ski Lodge:Ski Area
Badminton Court:Athletics & Sports
Mattress Store:Shop & Service
Czech Restaurant:Food
African Restaurant:Food
Multicuisine Indian Restaurant:Indian Restaurant
Portuguese Restaurant:Food
Coworking Space:Office
Fish & Chips Shop:Food
Bakery:Food
Jiangsu Restaurant:Chinese Restaurant
Blini House:Russian Restaurant
Outlet Mall:Shop & Service
Peking Duck Restaurant:Chinese Restaurant
Shrine:Spiritual Center
States & Municipalities:Outdoors & Recreation
Tourist Information Center:Travel & Transport
Alternative Healer:Medical Center
Persian Restaurant:Middle Eastern Restaurant
Padangnese Restaurant:Indonesian Restaurant
Tennis Court:Athletics & Sports
Paintball Field:Athletics & Sports
Grilled Meat Restaurant:Greek Restaurant
Residential Building (Apartment / Condo):Residence
Molecular Gastronomy Restaurant:Food
Camera Store:Shop & Service
Salad Place:Food
Gift Shop:Shop & Service
College Arts Building:College Academic Building
General Entertainment:Arts & Entertainment
Kumru Restaurant:Turkish Restaurant
Other Event:Event
Casino:Arts & Entertainment
Sandwich Place:Food
Drugstore:Shop & Service
College Gym:College & University
Pool:Outdoors & Recreation
Nudist Beach:Beach
Pub:Bar
Dive Spot:Outdoors & Recreation
Yoga Studio:Gym / Fitness Center
Leather Goods Store:Shop & Service
Building:Professional & Other Places
Savoyard Restaurant:French Restaurant
Acehnese Restaurant:Indonesian Restaurant
Colombian Restaurant:South American Restaurant
Ouzeri:Greek Restaurant
Voting Booth:Professional & Other Places
Bubble Tea Shop:Food
Tiki Bar:Bar
Wagashi Place:Japanese Restaurant
Recruiting Agency:Professional & Other Places
Cuban Restaurant:Caribbean Restaurant
Hotel Bar:Bar
Kumpir Restaurant:Turkish Restaurant
Bowling Alley:Arts & Entertainment
Medical Lab:Medical Center
Mobile Phone Shop:Shop & Service
Bavarian Restaurant:German Restaurant
Romagna Restaurant:Italian Restaurant
Club House:Professional & Other Places
Doner Restaurant:Turkish Restaurant
College Auditorium:College & University
Grocery Store:Food & Drink Shop
Bridal Shop:Shop & Service
Cantonese Restaurant:Chinese Restaurant
Beijing Restaurant:Chinese Restaurant
Macanese Restaurant:Chinese Restaurant
Shabu-Shabu Restaurant:Japanese Restaurant
Cambodian Restaurant:Asian Restaurant
Hakka Restaurant:Chinese Restaurant
Kokoreç Restaurant:Turkish Restaurant
Hotel:Travel & Transport
Andhra Restaurant:Indian Restaurant
Physical Therapist:Medical Center
Manchu Restaurant:Chinese Restaurant
Laundromat:Shop & Service
Satay Restaurant:Asian Restaurant
Ballroom:Professional & Other Places
Tatar Restaurant:Eastern European Restaurant
Sporting Goods Shop:Shop & Service
Souvlaki Shop:Greek Restaurant
Donut Shop:Food
Record Shop:Shop & Service
Planetarium:Museum
Industrial Estate:Professional & Other Places
Acai House:Brazilian Restaurant
Turşucu:Food & Drink Shop
High School:School
Jazz Club:Music Venue
College Bookstore:College & University
Gay Bar:Bar
Winery:Professional & Other Places
Auto Garage:Shop & Service
Rafting:Outdoors & Recreation
Dizi Place:Persian Restaurant
Community College:College & University
Laundry Service:Shop & Service
Racetrack:Arts & Entertainment
Scandinavian Restaurant:Food
Gozleme Place:Turkish Restaurant
Meeting Room:Convention Center
Veterinarian:Medical Center
Empada House:Brazilian Restaurant
Outlet Store:Shop & Service
Parking:Professional & Other Places
Tanning Salon:Shop & Service
Beer Garden:Bar
Karaoke Bar:Bar
Turkish Coffeehouse:Turkish Restaurant
Café:Food
Road:Travel & Transport
Airport Lounge:Airport
Christmas Market:Event
Belarusian Restaurant:Eastern European Restaurant
Financial or Legal Service:Shop & Service
Roof Deck:Hotel
Cupcake Shop:Dessert Shop
Tunnel:Travel & Transport
Track:Gym / Fitness Center
Australian Restaurant:Food
Outdoor Event Space:Event Space
College History Building:College Academic Building
Aosta Restaurant:Italian Restaurant
Eastern European Restaurant:Food
Okonomiyaki Restaurant:Japanese Restaurant
Northeast Indian Restaurant:Indian Restaurant
Central Brazilian Restaurant:Brazilian Restaurant
TV Station:Professional & Other Places
College Hockey Rink:College Stadium
Police Station:Government Building
Warehouse Store:Shop & Service
Plaza:Outdoors & Recreation
Real Estate Office:Shop & Service
Paella Restaurant:Spanish Restaurant
Courthouse:Government Building
Language School:School
Hostel:Hotel
Home (private):Residence
Tattoo Parlor:Shop & Service
Canal Lock:Outdoors & Recreation
Salsa Club:Arts & Entertainment
College Communications Building:College Academic Building
College Cafeteria:College & University
Department Store:Shop & Service
Meze Restaurant:Greek Restaurant
Power Plant:Professional & Other Places
Karaoke Box:Arts & Entertainment
Auto Dealership:Shop & Service
Mental Health Office:Medical Center
Law School:College & University
Nightclub:Nightlife Spot
Romanian Restaurant:Eastern European Restaurant
Yucatecan Restaurant:Mexican Restaurant
Religious School:School
Middle Eastern Restaurant:Food
